task_id,subtask_id,declared_app_count,input_types,output_types,inferred_apps,inferred_operations,evaluator_types,inferred_chain,conservative_coverage,coverage_gaps,task_file_sha256
1-14,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,c5bc5ee4f4ec77204808ed2c746545c853c25d447676c48fbf07593f6255a965
1-14,1,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,0ebc86b86294fd68c736b3cdefb365d4abf388c1e50c0a8d5d9908b26e342db1
1-14,2,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,a082f137c9bbb5e295adbd9c8f43840012095918d5aff97583b38df1c26a7a17
1-14,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,701d81c5243258d3d948cf1cba9e191fe17654a9ebf87a1b0020132dc46c11c2
1-14,4,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,350f56605f9dc490e48d7686777ad2ee048061fcb8176b67ed16b11c7e333014
1-15,0,1,.docx|.txt,.docx,word,shell.command|word.create_or_update_file|word.read_file,evaluate_contain,text+word -> word,partial,operation:word.read_file|read:.docx,8458c7bf5019832d9d7934b489386ae089dbf139c0d39bc27bb79ae4da2859e9
1-15,1,1,.docx|.txt,.docx,word,shell.command|word.create_or_update_file|word.read_file,evaluate_contain,text+word -> word,partial,operation:word.read_file|read:.docx,7bc0cf068860e116d9da84e6d71a8d9a4fd4ebdf7ce7a56b153e525411230e99
1-15,2,1,.docx|.txt,.docx,word,shell.command|word.create_or_update_file|word.read_file,evaluate_contain,text+word -> word,partial,operation:word.read_file|read:.docx,0ba1f290e93af9fdd7d8a28265439a367a186ff5226a55e4b4ed730532793258
1-16,0,1,.txt,.docx,word,shell.command|word.create_or_update_file,evaluate_contain|evaluate_file_exist,text -> word,near_reusable_not_verified,,c51cb9cba5645af1d37ee5d36a5b5c05022a4443925f62d77d39ead864f066ba
1-16,1,1,.txt,.docx,word,shell.command|word.create_or_update_file,evaluate_contain|evaluate_file_exist,text -> word,near_reusable_not_verified,,5fbaadf4a15c1ceadc913d81520fcb9756069c9fcd6d04bdb7c485854270373b
1-18,0,1,.pdf,.jpg,pdf,pdf.convert_to_image|pdf.read_file,evaluate_file_exist,pdf -> ocr,partial,operation:pdf.convert_to_image|write:.jpg,e475aa508b8fc95755e1cd6dd085f537f746058681833b87d8b00b4004afa11b
1-18,1,1,.pdf,.pdf,llm|pdf,llm.complete_text|pdf.create_or_transform|pdf.read_file,evaluate_file_exist,pdf -> pdf,partial,operation:pdf.create_or_transform|write:.pdf,2676fd0bfed0885f93d6b00118978a7345d8c8e36e57337b1e3fc7ab6fb2f147
1-19,0,1,.pdf,.docx,pdf|word,pdf.read_file|word.create_or_update_file,evaluate_contain|evaluate_file_exist,pdf -> word,near_reusable_not_verified,,736ea394f66acf9adf71cf7f97662a7a0ab0f4c2f352327d1741d70cc3120c5f
1-19,1,1,.pdf,.docx,pdf|word,pdf.read_file|word.create_or_update_file,evaluate_contain|evaluate_file_exist,pdf -> word,near_reusable_not_verified,,affcd02e954932476008f4968addb825d062501a981eda2a7f4010412ca5e694
1-19,2,1,.pdf,.png,pdf,pdf.convert_to_image|pdf.read_file,evaluate_file_exist,pdf -> ocr,partial,operation:pdf.convert_to_image|write:.png,c180c39d08aee0e81ea01d08d7c47ccabf518cf472fe127c8058799acf4d85a5
1-19,3,1,.pdf,.txt,pdf,pdf.read_file|shell.command,evaluate_contain,pdf -> text,partial,write:.txt,fde08b930b9f5167269ccf8d6b2a8e67e112420b2ee5501f3beb75e637c27b88
1-19,4,1,.pdf,.docx,pdf|word,pdf.read_file|word.create_or_update_file,evaluate_contain|evaluate_file_exist,pdf -> word,near_reusable_not_verified,,1028455a5ce4f36be3bdecc540b3831c8a81ae7173c0d33aa5377fadd9e932b6
1-2,0,1,.ics,.ics,calendar,calendar.create_event|calendar.list_events,evaluate_calendar_no_overlap|evaluate_calendar_no_overlap|evaluate_contain|evaluate_contain,calendar -> calendar,unsupported,operation:calendar.create_event|operation:calendar.list_events|read:.ics|write:.ics,cef1156f17b4715269e079fbae9f2cee64a5a824438e58f1cd155443c435bd92
1-2,1,1,.ics,.ics,calendar,calendar.create_event|calendar.list_events,evaluate_calendar_no_overlap|evaluate_calendar_no_overlap|evaluate_contain|evaluate_contain,calendar -> calendar,unsupported,operation:calendar.create_event|operation:calendar.list_events|read:.ics|write:.ics,5f42649e3406c20b8d0080ec449b1a771ee98b4141ab3fde8dee45ee3279e214
1-2,2,1,.ics,.ics,calendar,calendar.create_event|calendar.list_events,evaluate_calendar_no_overlap|evaluate_calendar_no_overlap|evaluate_contain|evaluate_contain,calendar -> calendar,unsupported,operation:calendar.create_event|operation:calendar.list_events|read:.ics|write:.ics,c519daafb5e06868dc7db6feb0d71c81fdd085e815ff05c02d8f8a1b3837216f
1-2,3,1,.ics,.ics|.txt,calendar,calendar.create_event|calendar.list_events|shell.command,evaluate_contain,calendar -> calendar+text,unsupported,operation:calendar.create_event|operation:calendar.list_events|read:.ics|write:.ics|write:.txt,fcae6f6e79caf2b3513ab93064048d8c9a5c5330cd895c90cfc6564565c2aca3
1-2,4,1,.ics,.ics|.txt,calendar,calendar.create_event|calendar.list_events|shell.command,evaluate_contain,calendar -> calendar+text,unsupported,operation:calendar.create_event|operation:calendar.list_events|read:.ics|write:.ics|write:.txt,32480b4adc845f9b5beced18b34e3f9646264a6f57a0c6ed43349d904d2307dd
1-20,0,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain|evaluate_not_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,735b80aa4bcb43aa605d5669dba4b3c216c2cb5103cb89129f4abf36bee400b7
1-20,1,1,.eml,.eml|.txt,email,email.read_email|email.send_email|shell.command,evaluate_contain,email -> email+text,unsupported,operation:email.read_email|operation:email.send_email|read:.eml|write:.eml|write:.txt,45f912e8b808988c6b69767cd2201ed3dad47aa818a668dde0927b2f99ee0e7c
1-20,2,1,.eml,.eml|.txt,email,email.read_email|email.send_email|shell.command,evaluate_contain,email -> email+text,unsupported,operation:email.read_email|operation:email.send_email|read:.eml|write:.eml|write:.txt,aa8b44f03e5eaa09b6dbbb19f6caadcbf37c19a732e2663c40e4fb556aa4a954
1-20,3,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,b0a736ee16ca3738a3d148c64294bc6edcac1e131045be73a71de59c438c2f90
1-20,4,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,7acbde08f9676377393c863f95b4d5a6a505cfa237cf8b5c512a7c6120b25c60
1-21,0,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,edcc76817fe3b44ec97ba4ad788334fbca39922c2196a284deaac1df34d61e86
1-21,1,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,3e4a7deabe47c9bb9020d912d09a09133d53863f1a01f809ee399145814b76ed
1-21,2,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,cfb30e7cfbabf3437096b2bd3898eda04419828ce8e56fa0f7c330c744bd6d54
1-22,0,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,5423aab6baf2f48eaa0fb2ddd97f8e8c9c046b4f21d5761e1820e873e7aa0cd2
1-22,1,1,.eml,.eml|.txt,email,email.read_email|email.send_email|shell.command,evaluate_contain,email -> email+text,unsupported,operation:email.read_email|operation:email.send_email|read:.eml|write:.eml|write:.txt,2c50d451274afb50e7a621505318f37facfb01b7552747388cefe698a6547ee6
1-22,2,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,67cc5f2ecddc667f70418e6a1f4021cd41aa40db98c22da1b7ca8dd1342776f5
1-22,3,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,b5d1387abe0355e0f00b3571b8d7a9d767fbf890e30f5f8d70d88580edbef0de
1-22,4,1,.eml,.txt,email,email.read_email|shell.command,evaluate_contain,email -> text,unsupported,operation:email.read_email|read:.eml|write:.txt,e50ed32ca1ab9dbc1112d5c6695b256d7feac42dc0bdcedd767fdc006c5d90d2
1-23,0,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,ef6bae57a0a0bfb4ca6c3dfe9fff7b345b8a27f67ca44f4604aac450d117c421
1-23,1,1,.xlsx,.txt,excel,excel.read_file|shell.command,evaluate_contain,excel -> text,unsupported,operation:excel.read_file|read:.xlsx|write:.txt,d8ceb6220daf9752129db29b7a74dcab3257ea562d66c2efe1700d0410ead333
1-3,0,1,.docx|.jpg|.pdf|.xlsx,.docx,excel|ocr|pdf|word,excel.read_file|ocr.recognize_file|pdf.read_file|word.create_or_update_file|word.read_file,evaluate_file_exist,excel+ocr+pdf+word -> word,partial,operation:excel.read_file|operation:ocr.recognize_file|operation:word.read_file|read:.docx|read:.jpg|read:.xlsx,0733159d49cf01367e73972baff0d35af58286c7bd2ca257911931a2deb02d55
1-3,1,1,.docx|.jpg|.pdf|.xlsx,.pdf,excel|ocr|pdf|shell|word,excel.read_file|ocr.recognize_file|pdf.read_file|shell.command|word.convert_to_pdf|word.read_file,evaluate_file_exist,excel+ocr+pdf+word -> pdf,partial,operation:excel.read_file|operation:ocr.recognize_file|operation:word.convert_to_pdf|operation:word.read_file|read:.docx|read:.jpg|read:.xlsx|write:.pdf,81f30812854d5d024297d8da6b80a0de29782c80fee6a9e0a409ea160ce98794
1-3,2,1,.docx|.jpg|.pdf|.xlsx,.xlsx,excel|ocr|pdf|shell|word,excel.create_or_update_file|excel.read_file|ocr.recognize_file|pdf.read_file|word.read_file,evaluate_file_exist|evaluate_file_exist,excel+ocr+pdf+word -> excel,partial,operation:excel.create_or_update_file|operation:excel.read_file|operation:ocr.recognize_file|operation:word.read_file|read:.docx|read:.jpg|read:.xlsx|write:.xlsx,b1986b1e201e13db044028aac15909679063be30fe17c9d7caef117f0cd2b67c
1-3,3,1,.docx|.jpg|.pdf|.xlsx,.xlsx,excel|ocr|pdf|shell|word,excel.create_or_update_file|excel.read_file|ocr.recognize_file|pdf.read_file|shell.command|word.read_file,evaluate_file_not_exist,excel+ocr+pdf+word -> excel,partial,operation:excel.create_or_update_file|operation:excel.read_file|operation:ocr.recognize_file|operation:word.read_file|read:.docx|read:.jpg|read:.xlsx|write:.xlsx,be2a1f3d79785ea9fa9ce6461d488e6efa839f0f68b4ec04a319e9a6156215e1
1-3,4,1,.docx|.jpg|.pdf|.xlsx,.docx|.jpg|.pdf|.xlsx,excel|ocr|pdf|shell|word,excel.create_or_update_file|excel.read_file|ocr.recognize_file|pdf.convert_to_image|pdf.read_file|shell.command|word.convert_to_pdf|word.create_or_update_file|word.read_file,evaluate_file_exist|evaluate_file_exist|evaluate_file_exist|evaluate_file_exist,excel+ocr+pdf+word -> excel+ocr+pdf+word,partial,operation:excel.create_or_update_file|operation:excel.read_file|operation:ocr.recognize_file|operation:pdf.convert_to_image|operation:word.convert_to_pdf|operation:word.read_file|read:.docx|read:.jpg|read:.xlsx|write:.jpg|write:.pdf|write:.xlsx,d1b3284a8a219ce3a5d5ca7cdb395613081d7d96589d0389a0d91ece0c2cd796
1-4,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,68a0af7784f910ada8c91edd995e801f3f40446f29cf111da283dac1067675ec
1-4,1,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,18cdf7fa5e566fd54ee1ee0dcbeb4ee053b18f4832393fc3ab0a9f02399c1b96
1-4,2,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,5b0c5a1d33337b0334407c2706aa67ed6e9dfb837286729835731e50a067dd13
1-4,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,576790ef82023e46caf3ef7404d74b58e576fff64abbb102eb017b613ed3648d
1-5,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,44cb6a7dcb09895778b1ae603238eeec48ccd0610a5616ac58f1f64a0297c56b
1-5,1,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,efc42a8f6e76c08589c3d486fbb4392e273a928e5873538d730dbf8d37ba6f66
1-5,2,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,65270e2c672e40ab78589ff6e3692606d6c1c18571cf2b21144cb2e3174f803a
1-5,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,1fdf4dc89556c76699ce62f8c3205d0e3f36cc1c0861e3153cfe5c574372f38e
1-6,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_comparator|evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,d65703584fb2db10e21a4366e256e78308f6b235a81d429906a79a713e91d6a8
1-6,1,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value|evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,c42c73d1f8daf28db0336ff041a40d201b15b12dd5ef88c30da4a24999e58818
1-6,2,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value|evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,26273f71cc2094418da43f3bbd4c46d06e6e330ff6cb75aefdd2dc530c1c4271
1-6,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value|evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,81765068fd4536699b6092b0f2c16da4f2fadd9a8aba0c5156d124a78a84d5ee
1-6,4,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value|evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,26d46e7d62c5312d3f9c7221bc50cc9542149a55926c1844d693c6059079e3f4
1-6,5,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value|evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,b0d4ef71c0468e3293d82038cd4bbd98c6a6fe0fa4f1d575f5814accd511586a
1-7,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_diff_contain_text,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,a39dbf1503d3052a1684ef2581d4df6cb31ddf6cd29aecee29ca727df82fcb10
1-7,1,1,.xlsx,.xlsx,excel|shell,excel.create_or_update_file|excel.read_file|shell.command,evaluate_diff_contain_text,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,4d21b331ba567ecf321ff0fb25f005aea7bab411dfbd3ad7f0d805658771d9a7
1-7,2,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_diff_contain_text,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,716ed579825489c70197a7b4da8076b6626209701f15831642d7b7f0b622fb2f
1-7,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_diff_contain_text,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,e95192f1863a1f88471d9b49b404186d29b19b4fb87f84c3aa844a7dbd6f7a4d
1-7,4,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_diff_contain_text,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,064f7ae611b1793d476a3d12b23caf30392e84e166c3cc1b5742eb4db1734af8
1-7,5,1,.xlsx,.xlsx,excel|shell,excel.create_or_update_file|excel.read_file|shell.command,evaluate_diff_contain_text,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,017ae41d488a7067ca0904dc33509f87189e113788546f8a609de72a8133f2b5
1-8,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,1136e4cb281cdb532d7d00b99e721e0515d6c99620cb3dafe1c1da694b66e89d
1-8,1,1,.xlsx,.xlsx,excel|shell,excel.create_or_update_file|excel.read_file|shell.command,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,1c1c9303a8dbbafc7761fa8b5f72a40919b013eee2a4d5db6bfaa2714545e4c6
1-8,2,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,62854f7eaeb7007718034fdf0a4b26dcd3b93acc9012d91bac976102c38b5ddf
1-8,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,39ded2f063e0eda72a4c16e4163c2bea20ac60a1df959568e9a5e148e284b518
1-8,4,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_exact_match,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,0e10e19d368676d29b472e713870c8770f2e3c3cc4dd0e5ef6d511e7a6f79ea7
1-9,0,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,a717952db215f6fb8670babec20b8cc56f74a5c4974e40d639c6df508736a281
1-9,1,1,.xlsx,.xlsx,excel|shell,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,f243f47eb908e76a35db70d920cbe83c2ba01589933ecea9f6f1ed7a47b6b6f9
1-9,2,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,86608bb4d6efec9d9b4eb864a1336fd47047677493d96e5218388657cf984b09
1-9,3,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,104ad1ac7bcffa96e2962e43c6bd4ec8ea9fa6ad221f31a72c5947ca94cb453c
1-9,4,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,aa7cdc135e8edf05484e816a12c6fede400b602181269f5be25a4e8dc22b3df2
1-9,5,1,.xlsx,.xlsx,excel,excel.create_or_update_file|excel.read_file,evaluate_excel_cell_value,excel -> excel,unsupported,operation:excel.create_or_update_file|operation:excel.read_file|read:.xlsx|write:.xlsx,350ab1b6c53eeaead2ccfa918214800a19f0ead20c6664a6d12adf1b6ebd0cec
2-1,0,2,.jpg,.pdf,ocr|pdf,ocr.recognize_file|pdf.create_or_transform,evaluate_contain,ocr -> pdf,unsupported,operation:ocr.recognize_file|operation:pdf.create_or_transform|read:.jpg|write:.pdf,88e8cfd204ba18b80995fbab374d13d16d514aae4d44ba7273a9ab7b67945815
2-1,1,2,.jpg,.pdf,llm|ocr|pdf,llm.complete_text|ocr.recognize_file|pdf.create_or_transform,evaluate_file_exist,ocr -> pdf,unsupported,operation:ocr.recognize_file|operation:pdf.create_or_transform|read:.jpg|write:.pdf,9219d5d2e2e6e1852684c8e1c7f4b42292ec417006609503bd5e615de21915a8
2-1,2,2,.jpg,.pdf,llm|ocr|pdf,llm.complete_text|ocr.recognize_file|pdf.create_or_transform,evaluate_file_exist,ocr -> pdf,unsupported,operation:ocr.recognize_file|operation:pdf.create_or_transform|read:.jpg|write:.pdf,20bde9a978148f1a98cf33896c6136a7c27dc1dcaf93b8bb8f625fecdaf3fadb
